"FEATURE_ID","LAST_UPDATE_BY","ROOT_VERSION_ID","CREATED_BY","APP_WIDE","FEATURE_NAME","CREATED_AT","CREATED_DESIGNER_VERSION","KIND","STABLE_VERSION_ID","ELEMENT_PATH_RULES","LAST_UPDATED_AT","_KLEENE_EXTRACT_DATE","_KLEENE_METADATA_ID"
"-EzUBjoBg_v2DsR44weaEYTJQeA","Bonnie  Bakoh","-EzUBjoBg_v2DsR44weaEYTJQeA","Bonnie  Bakoh","true","Feefo","2022-10-10T10:14:54Z","4.2.3","Feature","-EzUBjoBg_v2DsR44weaEYTJQeA-20221010101454.421384437","[""div:nth-child(50) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665396894412","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"VlpNeiel63Y_Ddx2rKUx2WffBOM","Bonnie  Bakoh","VlpNeiel63Y_Ddx2rKUx2WffBOM","Bonnie  Bakoh","true","MySQL","2022-10-10T10:20:38Z","4.2.3","Feature","VlpNeiel63Y_Ddx2rKUx2WffBOM-20221010102038.262412870","[""div:nth-child(83) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665397238251","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"Dpihmat2HGn6X24ElRR9qKRVRj4","Bonnie  Bakoh","Dpihmat2HGn6X24ElRR9qKRVRj4","Bonnie  Bakoh","true","NetSuite Connector","2022-10-08T16:46:00Z","4.2.3","Feature","Dpihmat2HGn6X24ElRR9qKRVRj4-20221008164600.693967041","[""div:nth-child(84) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665247560682","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"qlNVjukgviBfv4mjMvw3Nqjnfcc","Bonnie  Bakoh","qlNVjukgviBfv4mjMvw3Nqjnfcc","Bonnie  Bakoh","true","Monday.com","2022-10-10T10:20:12Z","4.2.3","Feature","qlNVjukgviBfv4mjMvw3Nqjnfcc-20221010102012.220153655","[""div:nth-child(80) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665397212213","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"Pvf4iVqu14Ri9-TH2dYyIsgSrN0","Bonnie  Bakoh","Pvf4iVqu14Ri9-TH2dYyIsgSrN0","Bonnie  Bakoh","true","Adtraction","2022-10-10T10:05:40Z","4.2.3","Feature","Pvf4iVqu14Ri9-TH2dYyIsgSrN0-20221010100540.240630408","[""div:nth-child(4) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665396340231","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"stHDhy_nohVq68eyxG-K4a6HZ9Q","Bonnie  Bakoh","stHDhy_nohVq68eyxG-K4a6HZ9Q","Bonnie  Bakoh","true","Famly","2022-10-10T10:14:44Z","4.2.3","Feature","stHDhy_nohVq68eyxG-K4a6HZ9Q-20221010101444.573624650","[""div:nth-child(49) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665396884564","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"Zfmv8iO9_jWOxwnmdnrHUAICJP8","Bonnie  Bakoh","Zfmv8iO9_jWOxwnmdnrHUAICJP8","Bonnie  Bakoh","true","Talkdesk","2022-10-10T10:25:26Z","4.2.3","Feature","Zfmv8iO9_jWOxwnmdnrHUAICJP8-20221010102526.038690043","[""div:nth-child(115) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665397526029","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"6yO1EWdrqjalTMXSTHFTwLA2uAU","Bonnie  Bakoh","6yO1EWdrqjalTMXSTHFTwLA2uAU","Bonnie  Bakoh","true","Quickbooks oAuth","2022-10-10T10:23:15Z","4.2.3","Feature","6yO1EWdrqjalTMXSTHFTwLA2uAU-20221010102315.644943002","[""div:nth-child(100) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665397395634","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"jI6iA5_E2OAH66OgCbOgmy_t3DM","Bonnie  Bakoh","jI6iA5_E2OAH66OgCbOgmy_t3DM","Bonnie  Bakoh","true","Exchange Rates","2022-10-10T10:14:14Z","4.2.3","Feature","jI6iA5_E2OAH66OgCbOgmy_t3DM-20221010101414.937509050","[""div:nth-child(46) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665396854927","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"Rg85ZSOSScSpDu7tvRJ-4l2BgY0","Bonnie  Bakoh","Rg85ZSOSScSpDu7tvRJ-4l2BgY0","Bonnie  Bakoh","true","Rakuten","2022-10-10T10:23:23Z","4.2.3","Feature","Rg85ZSOSScSpDu7tvRJ-4l2BgY0-20221010102323.531571530","[""div:nth-child(101) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665397403515","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"EbfPSFJPld8IInSYTWGLRqwSxic","Bonnie  Bakoh","EbfPSFJPld8IInSYTWGLRqwSxic","Bonnie  Bakoh","true","GA4 Connector","2022-10-08T16:46:31Z","4.2.3","Feature","EbfPSFJPld8IInSYTWGLRqwSxic-20221008164631.446754850","[""div:nth-child(57) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665247591436","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
"mCnQJDjFIuJF69zNbt5l8qQxmmU","Bonnie  Bakoh","mCnQJDjFIuJF69zNbt5l8qQxmmU","Bonnie  Bakoh","true","Blinkfire","2022-10-10T10:10:47Z","4.2.3","Feature","mCnQJDjFIuJF69zNbt5l8qQxmmU-20221010101047.477202131","[""div:nth-child(25) > .MuiPaper-root > .MuiCardActions-root:nth-child(3) > .MuiButtonBase-root > .MuiButton-label:nth-child(1)""]","1665396647469","2022-10-31T17:17:33Z","cbd3067f182f1d6e595831b7280ed55c"
